filename,original_caption,detailed_description
"101_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, chair, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove, extractor hood","The drawing depicts a kitchen space with a long dining table positioned centrally, equipped with a sink and faucet. Surrounding the table are several chairs, suggesting a dining area. To the left of the table is a large cabinet with glass doors, divided into multiple compartments, each with diagonal lines indicating shelves or contents. In the background, two tall, narrow doors or cabinets are visible. Adjacent to these, on the right side of the room, is a kitchenette area. This includes a counter with a stove on which an extractor hood is mounted, along with a microwave above it. Further along the counter, there's another shelf or cabinet filled with what appear to be books or boxes, and a plant with radiating lines suggesting foliage. A refrigerator is placed between the cabinets on the left and the dining table. The overall layout suggests a functional kitchen with dedicated zones for cooking and dining."
"101_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, chair, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove, extractor hood","This line drawing depicts a kitchen layout with a long dining table positioned in the foreground, adorned with a sink and a faucet. Several chairs are neatly arranged around the table, suggesting a dining area. To the right of the table, a counter runs along the wall, featuring a stove with what appears to be burners and an extractor hood above it. Further along this counter, a microwave and several shelves are visible, with kitchen utensils and a plant placed on them. On the opposite side of the room, a large cabinet with glass doors and internal shelves dominates the space. The back wall displays a refrigerator, and next to it, a door suggests an exit or passage to another room. The drawing implies a functional kitchen space with integrated dining and storage areas."
"101_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, chair, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove, extractor hood","This line drawing depicts a kitchen space with distinct zones. On the left, a tall cabinet with multiple shelves and glass doors is visible. Opposite this, on the right, is a kitchenette area featuring a counter with what appears to be an oven or stovetop integrated, evidenced by circular elements, and above it, a shelf displaying items like books or boxes, with an extractor hood directly overhead, indicated by downward strokes. Further to the right, another cabinet or shelving unit is present. In the center of the room, a rectangular table is set with chairs around it. A sink with a faucet is prominently placed on the table itself, suggesting it might be a prep or dining island. A refrigerator is positioned against the back wall, alongside a doorway or another tall storage unit. The overall layout suggests a functional kitchen with ample storage and workspace."
"102_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, shelf, kitchen utensil, plant, stove, extractor hood","This is a line drawing depicting a kitchen space. In the foreground, a rectangular table is centrally placed, surrounded by four chairs. On the table, there's a sink with a faucet, and next to it, a vase containing a plant, along with other kitchen utensils. The table itself appears to have a drawer. To the right of the table, a counter runs along the wall, featuring a stove and an extractor hood above it. To the left of the table, a large window with multiple panes is visible. Further back, against the far wall, a kitchenette unit is depicted, possibly housing cabinets and a shelf. A refrigerator is also positioned in this area. Adjacent to the kitchenette, a door is drawn, and above the kitchenette, a lamp or light fixture is shown. The drawing suggests a functional kitchen layout with distinct zones for dining, cooking, and storage."
"102_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, shelf, kitchen utensil, plant, stove, extractor hood","This line drawing depicts a kitchen space with various elements arranged around a central table. In the foreground, a rectangular table is central, featuring a drawer and several objects on its surface, including a sink with a faucet, a vase with a plant, and at least two other container-like kitchen utensils. Surrounding the table are four chairs, two of which are clearly visible in profile. To the right of the table, a counter area is depicted, equipped with a stove and an extractor hood above it. Adjacent to the counter is a tall refrigerator. Further to the right, a door is visible. The left side of the drawing shows a large window with a grid pattern. In the background, there are cabinets, one of which appears to have a glass door. Another shelf is also indicated, and a separate door is present on the far wall. A second plant is located on a surface in the background, and a lamp is hanging from the ceiling. The overall layout suggests a functional kitchen with a dining area integrated into the space."
"102_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, shelf, kitchen utensil, plant, stove, extractor hood","The drawing depicts a kitchen interior viewed from a slightly elevated angle. In the center, a table with four chairs is prominent, with kitchen utensils, a vase, and a plant visible on its surface. To the right of the table, a kitchenette area is suggested, featuring a sink with a faucet and what appears to be a stove topped by an extractor hood. Adjacent to the kitchenette is a refrigerator. Along the far wall, there are cabinets, one of which has a glass door revealing a shelf. Another shelf is also visible above the cabinets. A door is situated on the right side of the room, and a window with a grid pattern is on the left wall. A lamp hangs from the ceiling."
"103_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove","This line drawing depicts a kitchen area with a dining table as the central focus. The table is laden with several items, including a vase, two bowls, and a pitcher, suggesting a setup for dining or serving. Adjacent to the table are multiple chairs, arranged in a row, indicating seating for several individuals. To the right of the table, a long counter runs along the wall, featuring an oven and potentially a stovetop integrated within it. Above this counter, a shelf is visible, holding some indistinct objects. Further along this wall, a tall, narrow structure, possibly a refrigerator or a pantry, stands. The far wall displays a large cabinet with multiple vertical sections, and to its left, a window with panes is depicted. Another counter area is present to the left of the window, and a doorway or entrance is suggested on the right side of the drawing. The perspective suggests a corner of the room is shown."
"103_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove","This line drawing depicts a kitchen space with a dining area. A rectangular table is centrally positioned, with multiple chairs neatly arranged around it, suggesting a dining setup. On the table, there are several items, including a vase, a plant, and two bowls. A sink with a faucet is also present on the table's surface. To the left, there appears to be a window with multiple panes. In the background, a wall features a long cabinet with vertical divisions, and next to it, a refrigerator. Adjacent to the refrigerator is a tall, narrow cabinet, possibly a kitchenette unit. To the right of the central view, another long counter space is depicted, which seems to incorporate an oven and a stove, with shelves above it. The overall layout suggests a functional kitchen integrated with a dining space."
"103_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, vase, plant, chair, lamp, door, counter, oven, microwave, shelf, kitchen utensil, plant, stove","The drawing depicts a kitchen with a long table in the center, set with chairs on one side. On the table, there is a sink with a faucet, a vase, two bowls, and some kitchen utensils. To the right of the table, there is a counter space with a shelf above it, and further back, a kitchenette area with what appears to be an oven and a stove. Above the kitchenette, there are cabinets with glass doors and shelves. To the left of the table, a door is visible, and beyond that, a window. A fridge is situated against the back wall, to the left of the cabinets. Another plant is depicted near the fridge. A lamp is present, though its exact placement is unclear. The overall layout suggests a functional kitchen space with a dining area integrated."
"104_kit_copy.jpg","cabinet, glass door, basket, shelf, fridge, kitchenette, sink, vase, chair, lamp, door, counter, stove","The line drawing depicts a kitchen space with a focus on a central counter area. To the left, a tall, multi-tiered cabinet or shelving unit is visible, composed of numerous rectangular compartments. In front of this unit, a long counter stretches across the foreground. Integrated into the counter is a sink with a faucet, and to the right of the sink, a basket is placed, filled with squiggly lines suggesting its contents. Further to the right on the counter, a diamond-shaped object is drawn. Behind the counter, in the middle ground, a kitchenette setup is suggested, with vertical lines that could represent cabinet doors or part of an appliance. Above this area, a lamp is suspended from the ceiling by a thin line. The background shows more vertical elements that might be cabinets or doors, and to the far right, another door is depicted. The overall layout suggests a functional kitchen with ample storage and workspace."
"104_kit_copy.jpg","cabinet, glass door, basket, shelf, fridge, kitchenette, sink, vase, chair, lamp, door, counter, stove","This line drawing depicts a kitchen from a slightly elevated perspective, revealing a compact layout. In the foreground, a substantial counter dominates, featuring a sink with a faucet and a basket-like object within it, suggesting it's for dishwashing or storage. To the right of the counter, a diamond-shaped object is placed, potentially a placemat or trivet. The left side of the drawing shows a tall, multi-tiered cabinet or bookshelf, with individual sections clearly delineated. Across the back wall, a kitchenette area is suggested by a stove with visible burners. Adjacent to the stove, a refrigerator is depicted, and to its right, what appears to be a door leads out of the kitchen. Above the kitchenette, a shelf is visible, and on the far right, another door is shown. A single chair is placed near the counter. A lamp hangs from the ceiling, illuminating the space. A vase is also present, although its exact location is slightly ambiguous, likely near the counter or shelf. A glass door, possibly part of a cabinet, is visible in the background."
"104_kit_copy.jpg","cabinet, glass door, basket, shelf, fridge, kitchenette, sink, vase, chair, lamp, door, counter, stove","The drawing depicts a kitchen viewed from a slightly elevated perspective. Dominating the foreground is a long counter with a sink and what appears to be a kitchenette unit. The sink has a faucet and a ribbed drainboard area. To the left of the sink, a rectangular shape suggests a basket or a drawer. Behind the counter, upper cabinets are visible, some with outlines suggesting glass doors. Further to the left, a tall unit with multiple shelves is drawn, possibly a cabinet or pantry. In the background, a refrigerator is suggested by a large rectangular outline, adjacent to a doorway. To the right of the refrigerator, another tall unit is present, possibly a cupboard or a door. The wall space above the counter contains further cabinet outlines, some appearing to be part of a kitchenette setup. A single chair is drawn near the counter. Overhead, a simple outline suggests a lamp hanging from the ceiling. The overall impression is of a functional kitchen space with ample storage and a central workspace."
"105_kit_copy.jpg","cabinet, glass door, shelf, fridge, kitchenette, sink, bowl, fruit, plate, vegetable, vase, door, counter, oven","The drawing depicts a simple line art representation of a kitchen space. On the left wall, a grid of shelves is visible. The back wall features a row of cabinets with circular handles and a vertical door. To the right of the cabinets, another door stands tall. The right wall showcases a kitchenette unit which includes a counter with an oven, and above it, a sink with a faucet. There are multiple plates and bowls on the counter, some containing what appear to be fruit and vegetables. A vase-like object and a bowl containing circular items, possibly fruits, are also present on the counter. In front of the kitchenette, a central island or counter extends into the foreground, with a horizontal rectangular drawer or cabinet on its front. The overall layout suggests a functional kitchen with ample storage and workspace."
