filename,original_caption,detailed_description
"101_bat.jpg","bathroom vanity, sink, mirror, window, toilet, rug, shower, person, dryer, washing machine, towel holder, shelf","This line drawing depicts a functional bathroom layout within a room. On the left, a vanity with multiple drawers is shown, topped with a sink and a faucet. Above the vanity, a rectangular mirror is mounted on the wall, and to its left, a window with a crossbar design is visible. Central to the back wall is a toilet, with a small, rectangular rug positioned in front of it. Further to the right, there's a shower stall, depicted with a showerhead and falling water lines, with a stick figure person showering inside. The right side of the room features two appliances, likely a washing machine and a dryer, positioned one above the other, with a shelf above them holding a few items. A towel holder is also present on the right wall, next to the appliances. Another window, similar in design to the one on the left, is located on the upper back wall."
"101_bat.jpg","bathroom vanity, sink, mirror, window, toilet, rug, shower, person, dryer, washing machine, towel holder, shelf","This line drawing depicts a bathroom layout. On the left wall, a vanity with a sink and faucet is situated, accompanied by a mirror mounted above it. Further down this wall, there is another window. In the center of the room, a toilet is positioned with a small rug in front of it. Adjacent to the toilet, against the back wall, is a dryer with a lid and a washing machine directly above it, indicating a stacked configuration. To the right of the toilet area is a shower stall containing a person with raised arms. The right wall features a tall, slender object that appears to be a towel holder, and above it, a shelf holding a couple of rectangular items. Additionally, on the right side of the room, two separate appliances, likely a washing machine and a dryer, are placed side-by-side on the floor."
"101_bat.jpg","bathroom vanity, sink, mirror, window, toilet, rug, shower, person, dryer, washing machine, towel holder, shelf","This line drawing depicts a bathroom layout with several key features. On the left wall, a bathroom vanity with drawers and a sink is positioned, above which is a mirror. To the right of the vanity, a rectangular rug with fringed ends lies on the floor. Further back on the same wall, a toilet is situated with a dryer or a similar appliance above it. In the center of the drawing, a shower stall is visible, containing a person standing under the showerhead. On the back wall, a window with a crossbar divides the panes is drawn. To the right of the shower, a towel holder with at least two bars is mounted on the wall, and a shelf unit with items on it is above that. Two appliances, likely a washing machine and a dryer, are placed side-by-side against the right wall."
"102_bat.jpg","towel holder, bathroom vanity, sink, toothbrush cup, toothbrush, mirror, bathtub, shower curtain, shelf, rug, washing machine","This line drawing depicts a bathroom with several key fixtures and furniture. On the left side, a vanity with two drawers and a cabinet is shown, topped with a sink. A toothbrush cup and a toothbrush are placed on the vanity. Above the vanity hangs an oval mirror. To the right of the vanity, a rug with fringed edges is laid on the floor. The central feature of the bathroom is a bathtub with a shower curtain drawn across it, and a shower head visible above. Adjacent to the bathtub is a small shelf. In the bottom right corner of the drawing, a washing machine is depicted with a circular door. Another rug, rectangular in shape, is positioned on the floor between the bathtub and the washing machine. The drawing outlines the basic layout of the bathroom space."
"102_bat.jpg","towel holder, bathroom vanity, sink, toothbrush cup, toothbrush, mirror, bathtub, shower curtain, shelf, rug, washing machine","The drawing depicts a bathroom layout with several key fixtures. On the left side, a vanity with drawers and a sink is positioned, topped by an oval mirror and a toothbrush cup with a toothbrush. A rug is placed in front of the vanity. The center of the room features a bathtub, enclosed by a shower curtain. Directly in front of the bathtub lies a rectangular rug. To the right of the bathtub, a washing machine is situated. A shelf is visible above the bathtub, holding what appear to be toiletries. A towel holder is also present, mounted on the wall near the bathtub. The room's perspective is suggested by lines indicating walls and a floor, creating a three-dimensional feel to the sketch."
"102_bat.jpg","towel holder, bathroom vanity, sink, toothbrush cup, toothbrush, mirror, bathtub, shower curtain, shelf, rug, washing machine","This drawing depicts a bathroom layout with several key fixtures and items. On the left side, a vanity unit with two cabinet doors is shown, topped by a sink and a mirror. Next to the vanity, there appears to be a towel holder. On the vanity's surface, a toothbrush cup and a toothbrush are visible. Centrally located against the back wall is a bathtub with a shower curtain. Below the bathtub, a rectangular rug is placed on the floor. To the right of the bathtub, a washing machine is depicted. The drawing suggests a relatively compact bathroom space with these essential elements arranged for functional use. The overall arrangement implies a typical bathroom setup, prioritizing the bathtub, vanity, and laundry facilities."
"103_bat.jpg","bathroom vanity, sink, mirror, door, toilet, lamp, shower, ventilator, tiled floor","This line drawing depicts a bathroom layout with a tiled floor. Positioned in the foreground to the left is a sink, part of what appears to be a vanity. To the right of the sink and further back is a toilet. Further to the right, a rounded shower enclosure is visible. On the wall above and to the left of the toilet, there is a lamp. Another lamp is drawn on the wall to the right of the toilet, above the shower. In the upper right corner of the drawing, on the wall, a square ventilator with four blades is depicted. A vertical door is shown on the left wall, closer to the foreground. The floor is covered with a grid pattern, indicating tiles. The overall arrangement places the sink and door on the left, the toilet centrally located, and the shower on the right."
"103_bat.jpg","bathroom vanity, sink, mirror, door, toilet, lamp, shower, ventilator, tiled floor","This line drawing depicts a bathroom layout with several key fixtures. On the left side of the drawing, a bathroom vanity with a sink is positioned. Above the vanity, though not explicitly drawn as a single unit, the presence of two wall-mounted lamps suggests a mirror would typically be present. Towards the center of the room, a toilet is situated. To the right, a curved shower enclosure is drawn, with a figure implied inside. The floor is clearly depicted with a grid pattern, indicating tiles. A door is visible on the back wall, to the left of the toilet. A square-shaped ventilator is mounted on the upper right wall. The overall impression is a functional bathroom space with essential amenities."
"103_bat.jpg","bathroom vanity, sink, mirror, door, toilet, lamp, shower, ventilator, tiled floor","The line drawing depicts a bathroom with a tiled floor, rendered with intersecting lines. In the foreground to the left is a bathroom vanity with a sink, characterized by faucets and two basins. Adjacent to this, on the left wall, is a closed door with a circular handle. The center of the room features a toilet. To the right, a curved shower stall is visible, containing a figure that appears to be showering. Above the shower, on the back wall, a square ventilation fan with four blades is mounted. Two light fixtures, possibly ceiling lamps, are depicted on the walls, one above the vanity and sink area, and another above the toilet. The overall layout suggests a functional bathroom space with essential fixtures."
"104_bat.jpg","bathtub, window, shower, towel holder, bathroom vanity, sink, mirror, lamp, shelf, toilet, rug","This line drawing depicts a bathroom layout. On the left, a bathtub is positioned next to a window, with a shower enclosure appearing to be adjacent to the bathtub. A small rug is placed in front of the bathtub. Towards the center of the room, a bathroom vanity with two sinks is visible, topped by a mirror. Above the vanity, a shelf is sketched. To the right of the vanity, a shower curtain creates a visual separation. In front of the vanity area, a rectangular rug with a patterned design is laid out. Further to the right, a toilet is situated. Additionally, a towel holder is depicted near the shower area. The room is illuminated by a ceiling lamp."
"104_bat.jpg","bathtub, window, shower, towel holder, bathroom vanity, sink, mirror, lamp, shelf, toilet, rug","This line drawing depicts a bathroom layout featuring several key fixtures and amenities. On the left side of the room, a bathtub is positioned against a wall, with a shower enclosure immediately adjacent to it. A window with crossbars is visible on the wall behind the shower. A towel holder hangs on the wall near the shower. In the center of the room, a long vanity with two sinks is present, topped by a mirror. Above the vanity, a shelf is drawn. Towards the right side of the room, a shower curtain encloses a shower area. A toilet is situated in the lower right quadrant. The floor is adorned with two rugs: a smaller one in front of the bathtub and a larger, irregularly shaped one positioned between the vanity and the toilet, with another small rug near the toilet. A ceiling lamp is depicted hanging from the center of the ceiling."
