filename,original_caption,detailed_description
"101_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","The drawing depicts a kitchen space with various appliances and furniture. On the left, there's a tall structure that appears to be a cabinet with multiple shelves and a glass door section. Below this, a smaller cabinet or counter is visible. Moving towards the center, a large kitchen island dominates the space, with a circular element, perhaps a stovetop or a decorative feature, on its surface. A chair is positioned near the island. To the right of the island, a refrigerator is depicted, and adjacent to it, a counter space is shown with an oven and a microwave. Above the counter, shelves are present, and kitchen utensils are implied. Further to the right, another set of cabinets and counter space is illustrated. A door is suggested towards the back of the kitchen. A plant adds a touch of greenery to the scene, and a lamp is also indicated, possibly overhead or on a counter. A basket is also drawn, potentially on a shelf or the island."
"101_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","The drawing depicts a kitchen with a central island and various appliances and furniture arranged around it. On the left side, there's a tall cabinet with multiple shelves, and next to it, a glass-doored cabinet that appears to be part of the same unit. Below the cabinets, a basket is visible. A refrigerator is also located on the left wall. The kitchen island in the center is a prominent feature, with a circular object, possibly a bowl or a decorative element, on its surface. A chair is placed near the island. To the right of the island, a counter area is depicted, featuring an oven and a microwave stacked vertically. Above the counter, shelves are shown. A collection of kitchen utensils is arranged on a shelf or counter. A plant adds a touch of greenery to the scene. Further to the right, another cabinet unit is present, and a door is visible in the background. A lamp is also sketched, its placement suggesting it's on a counter or shelf."
"101_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","This line drawing depicts a kitchen with a central island and cabinets lining the walls. On the left side, there appears to be a tall cabinet unit, possibly housing a fridge and other appliances, with some shelves visible. Adjacent to this is a counter space with a sink and possibly a microwave above it. A chair is positioned near the island, suggesting seating. The kitchen island itself is a prominent feature, with what looks like a stove or cooktop integrated into it, and a circular object on top that could represent a pot or a decorative item. To the right, more cabinets are drawn, some of which have glass doors. A basket and a shelf are also indicated within these cabinets. Further to the right, there's a depiction of a stove, and a door leads out of the kitchen. A lamp is sketched above the island, and a plant adds a touch of greenery to the scene. Various kitchen utensils are suggested on the counters and shelves, contributing to the functional feel of the space."
"102_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","The drawing depicts a kitchen from a slightly elevated perspective. On the far left, a tall cabinet with multiple shelves and drawers is visible, its structure suggesting a grid pattern. Adjacent to it, a counter space leads to a kitchen island that dominates the center of the room. On the island, a sink is situated, and beside it, a basket holds fruit, with additional fruit and a bowl also present. A vase and a plant are placed on the island, along with a lamp and some kitchen utensils. Further to the right, a stove with an oven below is integrated into a counter unit. Above this counter, wall cabinets with handles are arranged. Across the room, to the right, a refrigerator stands tall. In the background, a door is shown, and another set of cabinets is visible on the far right wall. A chair is partially depicted near the kitchen island."
"102_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","The drawing depicts a kitchen space, possibly viewed from a slightly elevated perspective. On the left, a tall cabinet or pantry is shown with a grid pattern, suggesting shelves or drawers. Adjacent to this, a counter runs along the wall, topped with upper cabinets featuring several doors, each with a small circular handle. A refrigerator is partially visible next to these cabinets. In the center of the room, a substantial kitchen island dominates, with a sink embedded within its surface. A basket sits on the island, containing a bowl, fruit, and possibly a vegetable. A vase and a plant are also present on the island, alongside a lamp with a curved arm. A chair is positioned near the island. To the right, another set of lower cabinets or drawers is depicted, with visible handles and possibly a shelf above. Further to the right, an oven and a microwave are integrated into the cabinetry. A door is visible in the background, separating this kitchen area from another space. Various kitchen utensils are implied to be present, though not individually detailed. Additionally, another plant is shown, and there's a suggestion of a stove, likely integrated with the counter space."
"102_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, lamp, door, counter, cabinet, oven, microwave, shelf, kitchen utensil, plant, stove","This drawing depicts a kitchen space with a prominent kitchen island in the center, featuring a sink and a basket filled with fruit and possibly vegetables. Adjacent to the sink is a plate. The island is accompanied by at least one chair, suggesting a dining or seating area. To the left of the island, a large cabinet with multiple drawers and shelves is visible, along with a shelf above it. Further to the left, another tall cabinet, possibly a pantry or refrigerator, is shown. The back wall of the kitchen houses a set of upper cabinets with doors and handles, and below them appears to be a counter space. A stove with an oven and a microwave are integrated into this area, along with some kitchen utensils. To the right of the island, another set of cabinets with drawers and shelves is depicted, potentially a sideboard or more storage. A door is visible on the right side of the drawing. Additionally, a vase and at least two plants are present in the scene, adding decorative elements. A lamp is also sketched, likely positioned to illuminate the island or counter. The drawing implies a functional and somewhat organized kitchen layout with distinct zones for cooking, preparation, and potentially dining."
"103_kit_copy.png","cabinet, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, counter, cabinet, oven, shelf","This drawing depicts a simplified kitchen layout. On the left, a tall cabinet is shown with multiple shelves, upon which several items are placed, including a basket and some round objects that could represent fruit. In the center, a kitchen island with a drawer or cupboard dominates the space. It features a sink with a faucet, a bowl containing what appear to be fruit and vegetables, and a square object that might be a plate. To the right of the island, an oven is partially visible, and another cabinet with a shelf is depicted. The overall arrangement suggests a functional kitchen space with distinct zones for storage and preparation."
"103_kit_copy.png","cabinet, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, counter, cabinet, oven, shelf","This line drawing depicts a kitchen layout with several key elements. On the left, a tall cabinet is shown with multiple shelves, some of which hold items resembling bags or baskets. Above this, a narrower cabinet or shelf unit contains a few objects, one appearing as a bowl with a lid. To the right of this, a horizontal shelf unit with multiple compartments spans the width of the drawing. In the center, a kitchen island dominates the space. It features a sink with a faucet, and beside it, a plate with a depiction of fruit and a vegetable. The island also has a drawer or cabinet with a handle. To the right of the island, a chair is positioned, suggesting a dining or seating area. Further to the right, a large appliance, likely a fridge, stands tall and has a rectangular inset, possibly a handle or control panel. The overall impression is of a functional, if simply rendered, kitchen."
"103_kit_copy.png","cabinet, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, counter, cabinet, oven, shelf","This line drawing depicts a kitchen scene with several key elements arranged in a clear layout. On the left side, a tall cabinet unit is shown, with multiple shelves, some of which contain items resembling bags or baskets, and other rounded objects that could be bowls or containers. Further to the left, another cabinet is partially visible, suggesting an L-shaped configuration. In the center of the drawing, a kitchen island takes prominence. This island features a counter with a sink and a faucet, and a bowl is placed near the sink, containing what appears to be fruit and possibly a vegetable. A rectangular object on the counter could represent a plate. The island itself has a drawer or cabinet front with a handle. Behind the island, a long shelf or cabinet with multiple compartments is mounted on the wall, possibly for storage. To the right, a refrigerator unit is depicted, with a handle and a recessed panel, suggesting a door. In front of the refrigerator, a chair is placed, implying a seating area. The overall impression is that of a functional kitchen space, with distinct zones for cooking, preparation, and storage."
"104_kit_copy.png","cabinet, glass door, basket, shelf, fridge, kitchen island, sink, bowl, fruit, plate, vegetable, vase, plant, chair, door, counter, cabinet, oven, microwave, shelf, plant","This line drawing depicts a kitchen space with various elements arranged in a seemingly haphazard yet functional manner. On the left, there's a large, grid-patterned object that could represent a cabinet or a storage unit, topped with three circular figures, perhaps suggesting people or decorations. Directly opposite, on the right, is another similar grid-patterned furniture piece, also potentially a cabinet or storage area. In the center of the scene, a tall, rectangular object likely represents a fridge. Adjacent to it is a kitchen island with a counter, on which a sink with a faucet, a bowl, a plate with what appears to be fruit and vegetables, and a vase with a plant are visible. Above the island, a microwave is perched on a shelf. Further to the right, another tall structure, possibly a cabinet with a glass door, is situated. There are also depictions of a chair, a door, and additional shelves. Flashes of lightning are scattered around the kitchen island, adding a surreal element to the drawing."
