filename,original_caption,detailed_description
"101_kit.jpg","shelf, bowl, book, counter, sink, stove, oven, extractor hood, window, kitchenette, bowl, fruit, person, cradle, rug, fridge","This line drawing depicts a kitchen scene, emphasizing functionality and arrangement. On the far left, a tall shelving unit with multiple shelves is visible, containing what appears to be books or other items. Adjacent to this is a large refrigerator. The central area features a long counter equipped with a sink and faucet on the left, and a stove with burners and an oven below on the right. Above the stove, an extractor hood is drawn, and two windows with divided panes are positioned on the back wall. A kitchenette setup is implied by the counter and appliances. In front of the counter, a rectangular table serves as a central island. On this table sits a bowl filled with fruit, including bananas and round fruits. To the right of the table, a rug is partially depicted, and a long, thin object, possibly a rolled-up rug or a mat, lies on the floor. A simplified representation of a person is shown near the table."
"101_kit.jpg","shelf, bowl, book, counter, sink, stove, oven, extractor hood, window, kitchenette, bowl, fruit, person, cradle, rug, fridge","The drawing depicts a compact kitchen space with a kitchenette positioned against the back wall. This kitchenette features a sink with a faucet on the left, followed by a counter section with a stovetop and an oven underneath. Above the stove, an extractor hood is visible. Two windows with crossbar panes are present on the back wall, one on either side of the extractor hood. To the left of the kitchenette, a tall shelving unit with multiple shelves is shown, some of which contain items that appear to be books and possibly drawers. In the center of the room, a rectangular island counter or table is placed, with a bowl containing fruit, including bananas and round fruits, situated on its surface. To the right of the kitchenette, a tall, slender appliance, likely a fridge, stands with two handles. A rug with wavy lines is depicted on the floor in front of the fridge. A partially drawn person, seemingly standing, is positioned near the island."
"101_kit.jpg","shelf, bowl, book, counter, sink, stove, oven, extractor hood, window, kitchenette, bowl, fruit, person, cradle, rug, fridge","This line drawing depicts a compact kitchen space with several key features. Dominating the rear wall is a kitchenette unit comprising a sink with a faucet on the left, followed by a section that appears to be a dishwasher or counter space, and then a stove with four burners and an oven below. An extractor hood is positioned above the stove. Two windows with cross-panes are visible on the wall behind the kitchenette. To the left of the kitchenette, a tall structure with multiple shelves, some containing items that could be books or decorative objects, is present. In the center of the room, a rectangular island or counter is shown, holding a bowl filled with fruit, including bananas and round fruits. To the right of this central island, a tall, slender appliance, likely a fridge, stands with a door and two handle elements. A thin, wavy object, possibly a rug or mat, is placed on the floor to the right of the central island. A solitary person is hinted at by a sketched outline near the extractor hood."
"102_kit.jpg","counter, stove, sink, cabinet, window, heater, table, chair, bowl, fruit, painting","This line drawing depicts a kitchen with a counter unit, a dining area, and a window. To the left, a counter runs along the wall, featuring a sink with a faucet and a stove with four burners. Below the counter are cabinets, indicated by vertical lines and circular handles. Above the counter, a set of cabinets with doors is mounted on the wall. In the center of the drawing, a large window spans the wall, divided into two panes, with a decorative element resembling a flower or a butterfly in each pane and a ledge beneath. A horizontal radiator or heater with vertical slats is positioned below the window. To the right, a table is set up, with a bowl containing fruit, possibly apples, placed on it. Several chairs surround the table, each depicted with a circular seat and legs. On the far right wall, a framed painting hangs, showing a stylized depiction of plants or flowers."
"102_kit.jpg","counter, stove, sink, cabinet, window, heater, table, chair, bowl, fruit, painting","This line drawing depicts a kitchen with a counter, stove, and sink unit positioned to the left. The counter has a sink with a faucet and is adjacent to a stove with four burners. Below the counter are cabinet doors, indicated by vertical lines and circles representing handles. Above the counter, a set of cabinets is also drawn. In the center of the scene, a large window dominates the wall, divided into two panes, each with a decorative element resembling a flower or butterfly. Below the window, a horizontal surface suggests a windowsill or a shelf, with vertical lines underneath that could represent a radiator or heater. To the right of the window, a small, abstract representation of a plant or foliage is visible. Further to the right, a table with a bowl of fruit on it is set up, accompanied by three chairs. The table is rectangular, and the fruit bowl appears to contain an apple and other round shapes."
"102_kit.jpg","counter, stove, sink, cabinet, window, heater, table, chair, bowl, fruit, painting","This line drawing depicts a simple kitchen layout. On the left side, a counter spans horizontally, featuring a sink with a faucet and an integrated stove with four burners. Below the counter are several cabinet doors. Above the counter, on the left wall, a series of vertical lines suggests upper cabinets. Directly in front of the counter is a long, horizontal element that appears to be a heater or radiator with a wavy pattern across its surface. Dominating the center of the drawing is a rectangular table with two chairs placed around it; one chair is fully drawn, while the others are partially depicted. On the table, a bowl is visible, containing what looks like fruit. In the background, against the wall, are two large windows, each with simple curtains and decorative elements resembling leaves or flowers inside. To the right of the windows, a small, potted plant is sketched. The drawing suggests a functional kitchen space with distinct zones for cooking, washing, and dining."
"103_kit.jpg","window, counter, sink, stove, kettle, cabinet, extractor hood, fridge","This is a line drawing of a kitchen layout, presenting a corner configuration. On the left side, a sink is depicted with a faucet, adjacent to a counter. This counter extends to the right, forming an L-shape. Along this counter, a stove with four burners is visible. Further along the counter, a kettle with a handle and spout is placed. Above the counter, wall cabinets are drawn, featuring multiple doors and handles. Above the stove area, an extractor hood is illustrated, projecting outwards from the wall. The drawing also shows what appears to be a refrigerator unit to the far right. The overall impression is of a functional kitchen space, with major appliances and storage elements arranged along the walls. The perspective suggests the viewer is standing in the open space of the kitchen, looking towards the corner. There are no windows depicted in this drawing."
"103_kit.jpg","window, counter, sink, stove, kettle, cabinet, extractor hood, fridge","The drawing depicts a corner kitchen layout. On the left side, a sink is integrated into a counter, with a faucet positioned above it. To the right of the sink, the counter extends, featuring a stove with two visible burners. Above the stove, an extractor hood is mounted on the wall. Further along the counter, a kettle is placed. The counter area is segmented by base cabinets, each with simple circular knobs, suggesting storage space underneath. Above the counter, wall cabinets are arranged, also divided into sections, some with visible knobs. The overall design shows a functional kitchen space within a room defined by lines representing walls and ceiling."
"103_kit.jpg","window, counter, sink, stove, kettle, cabinet, extractor hood, fridge","The drawing depicts a corner of a kitchen. On the left side, a sink is integrated into a counter, with a faucet extending upwards. To the right of the sink, the counter continues, featuring an inset stove with two burners visible. Further along the counter, a kettle is placed, suggesting it is used for boiling water. Above the counter, a series of cabinets are depicted, forming an L-shape that follows the contour of the counter. An extractor hood is mounted on the wall above the stove area. On the far right of the drawing, the outline of a refrigerator is visible. The overall layout shows a functional kitchen space with essential appliances and storage."
"104_kit.jpg","shelf, cabinet, sink, stove, oven, pot, extractor hood, lamp, fridge, table, chair, window","This line drawing depicts a kitchen area with several key elements. A long counter spans the back wall, topped by upper cabinets divided into multiple sections. Below the counter, integrated into the cabinetry, is a sink on the left, followed by a stove with visible burners and an oven below. Above the stove, an extractor hood is shown. To the right of the stove, there are several drawers. A shelf unit is positioned above the extractor hood. A single lamp hangs from the ceiling in the center. To the left of the main counter area, a tall, freestanding cabinet or fridge is depicted. In the foreground, to the right, a table with chairs is sketched. A window, divided into panes, is visible on the right wall. The overall layout suggests a functional kitchen space, with the main work area along the back wall and a dining area to the side."
