filename,original_caption,detailed_description
"101_bat.png","toilet, towel holder, sink, rug, bathtub, shower, shower curtain, door","This line drawing depicts a bathroom layout. On the left side, a toilet is positioned against a wall, with its tank and seat clearly outlined. Adjacent to the toilet, a towel holder is mounted on the wall, displaying a folded towel. In the center of the drawing, a sink is shown with a faucet. Above the sink, a shower rod extends across, from which a shower curtain hangs. The shower itself appears to be integrated with the bathtub, which is a curved structure situated below the shower rod. A rug is drawn on the floor in front of the bathtub and sink area. To the right of the central elements, a door is represented by a vertical line with two circular handles. Scattered circular shapes and dots above the shower rod suggest shower spray or light fixtures. The overall arrangement suggests a functional bathroom with common fixtures."
"101_bat.png","toilet, towel holder, sink, rug, bathtub, shower, shower curtain, door","This drawing depicts a bathroom scene. On the left side of the space, a toilet is clearly visible, positioned with its tank and seat. Adjacent to the toilet, a towel is hanging on a towel holder. Moving towards the center of the drawing, a sink area is depicted, with a faucet extending outwards. Above the sink, a shower curtain is drawn, suspended from a rod, with indications of showerheads or water droplets. Below the sink and shower area, a rug is laid out on the floor. To the right of the sink, a bathtub is outlined, and further to the right, a door to the bathroom is shown, with two circular knobs. The overall layout suggests a compact bathroom with these essential fixtures arranged in a functional manner."
"101_bat.png","toilet, towel holder, sink, rug, bathtub, shower, shower curtain, door","This line drawing depicts a bathroom layout. On the left side of the space, a toilet is situated, its tank and bowl clearly delineated. Adjacent to the toilet, on the back wall, a towel hangs from a towel holder. Central to the drawing is a sink with a faucet overhead. Above the sink, a shower rod spans the width, from which a shower curtain hangs, partially drawn. To the right of the sink area, a bathtub is visible. In front of the sink and possibly extending towards the bathtub is a rug. The entrance to the bathroom is indicated by a door on the right side of the drawing, shown with two circular handles. The overall impression is of a compact bathroom with essential fixtures arranged in a functional manner."
"102_bat.png","window, bathtub, rug, lamp, toilet, window, shower, shower screen, towel holder, plant","This line drawing depicts a bathroom with several key fixtures and decorative elements. On the left side, a bathtub is prominently featured, positioned beneath a window that has curtains and what appears to be a tree motif. Adjacent to the bathtub, a small, oval-shaped rug with a textured edge is visible. To the right of the bathtub, a toilet is situated, with a tank and bowl clearly delineated, and a small rectangular mat lies in front of it. Further to the right, a shower enclosure is drawn, complete with a shower head and a shower screen. To the right of the shower, a towel holder with a towel draped over it stands against the wall. Above the toilet and extending across the wall is a rectangular mirror. A pendant lamp hangs from the ceiling, illuminating the space. Finally, in the bottom right corner, a potted plant with several leaves adds a touch of greenery to the scene."
"102_bat.png","window, bathtub, rug, lamp, toilet, window, shower, shower screen, towel holder, plant","The drawing depicts a bathroom layout with a bathtub positioned on the left, partially enclosed by a window with curtains. Adjacent to the bathtub is an oval rug. In the center of the room, a toilet is placed, and above it, a rectangular mirror is mounted on the wall. A ceiling lamp hangs from above the mirror. To the right of the toilet, a shower stall is depicted, complete with a shower head and a shower screen. Next to the shower stall, a towel holder displays a towel. Finally, a potted plant sits in the lower right corner of the drawing."
"102_bat.png","window, bathtub, rug, lamp, toilet, window, shower, shower screen, towel holder, plant","The drawing depicts a bathroom scene laid out in a somewhat L-shaped configuration. On the left side of the space, a large bathtub is positioned against a wall with a window, which features curtains and a stylized depiction of a tree outside. A small, oblong rug with spiky edges lies in front of the bathtub. Further into the room, centered on the back wall, is a toilet with a tank. Above the toilet, a rectangular mirror is mounted on the wall, and directly overhead, a ceiling lamp with multiple light sources illuminates the area. To the right of the toilet, a small rectangular mat is placed on the floor. The right side of the bathroom is dominated by a shower enclosure, which appears to have a shower screen. A towel holder with a towel draped over it is mounted on the wall to the right of the shower. Finally, in the lower right corner of the scene, a potted plant with several leaves adds a touch of greenery to the space."
"103_bat.png","shelf, window, rug, bin, window, bathtub, toilet","The line drawing depicts a bathroom scene from a top-down perspective. On the left side of the drawing, a chest of drawers with several visible drawers and drawer pulls is situated. Above the chest, a shelf is mounted on the wall, displaying what appears to be a sink or a similar curved object. Adjacent to the chest of drawers, a rectangular rug with wavy lines is laid out on the floor. A bin, labeled with ""bi,"" is placed next to the chest. Dominating the center of the room is a bathtub, depicted as an elongated oval shape. Above and behind the bathtub, a window is shown, divided into six square panes, each containing a wavy line suggesting decorative elements or reflections. To the right of the bathtub, a toilet is drawn, oriented at an angle. The walls of the room are indicated by thin lines, suggesting a corner of the bathroom."
"103_bat.png","shelf, window, rug, bin, window, bathtub, toilet","The drawing depicts a bathroom layout viewed from a slightly elevated perspective. On the left wall, a dresser with multiple drawers is shown, topped with a crescent-shaped object. Above the dresser, there is a rectangular shelf or cabinet with wavy lines inside, possibly representing towels or decorative elements. Adjacent to the dresser, a small bin, labeled ""bi,"" stands on the floor. In the center of the room, a large bathtub is prominently featured, its edges clearly defined. Above and behind the bathtub, a window is drawn with a grid of six panes, each containing a wavy line. To the right of the bathtub, a toilet is positioned with its tank and bowl distinctly outlined. A rug with a wavy pattern is laid out diagonally in front of the dresser and bin. The overall arrangement suggests a functional bathroom with common fixtures and accessories."
"103_bat.png","shelf, window, rug, bin, window, bathtub, toilet","The drawing depicts a bathroom layout with several key fixtures. On the back wall, a rectangular window with a six-pane grid is prominently featured. Below this window, a bathtub with rounded edges is positioned centrally. To the left of the bathtub, a small, rectangular bin, labeled ""bi,"" stands. Further left and slightly forward, a chest of drawers with at least four visible drawers is drawn, topped with a curved object, possibly a sink or a shelf accessory. In front of the chest of drawers and angled towards the viewer, a rug with wavy lines is placed. To the right of the bathtub and towards the corner of the room, a toilet with a visible tank and seat is drawn. The overall arrangement suggests a functional bathroom space with the primary bathing and waste disposal units in prominent positions."
"104_bat.png","toilet, bin, shelf, bin, window, shower, sink","This line drawing depicts a bathroom with several key fixtures. On the left side of the room, a toilet is positioned next to a small, cylindrical bin. In front of the toilet, there is a multi-compartment shelf unit, with at least one compartment holding what appears to be bottles. Above the toilet area, a rectangular window with a smaller rectangular frame inside is drawn. Moving towards the center of the room, a shower area is indicated with a shower head and curtain rod. Adjacent to the shower, another small bin is shown. Finally, on the right side of the bathroom, two sinks are depicted, each with a faucet and basin. The overall layout suggests a functional bathroom with distinct zones for different activities."
