filename,original_caption,detailed_description
"101_bat_copy.jpg","bathtub, shampoo bottle, shower, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This line drawing depicts a bathroom layout with several essential fixtures and accessories. On the left side of the scene, a bathtub is prominent, with a showerhead and associated plumbing positioned above it. To the right of the bathtub, a vanity unit is shown, featuring a sink and a mirror above it. The vanity has multiple shelves, and on its surface, there appear to be items like a soap bottle, a toothbrush, and a cup. Further to the right, a toilet is situated. Above the toilet, a shelf holds several bottles, possibly shampoo or soap dispensers, and a small picture. In the far right corner of the room, a plant with bushy foliage is depicted. A window is visible on the right wall, and a lamp is implied near the vanity, though not explicitly drawn as a fixture. The drawing suggests a functional bathroom with a clear arrangement of common elements."
"101_bat_copy.jpg","bathtub, shampoo bottle, shower, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","The drawing depicts a bathroom with a bathtub situated on the left side, accompanied by a showerhead and controls. Next to the bathtub, several shampoo bottles are visible. In the center of the room, a bathroom vanity with a sink, faucet, and mirror is prominently featured. On the vanity counter, a toothbrush and cup are placed. Above the vanity, a shelf holds a picture and two bottles, possibly soap or lotions. To the right of the vanity, a toilet is positioned. Further to the right, a shelf displays three bottles. A lamp is implied by its placement above the vanity area, and a window is suggested by the diagonal lines indicating a corner of the room. Finally, a plant with leafy branches is sketched in the right foreground."
"101_bat_copy.jpg","bathtub, shampoo bottle, shower, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This is a line drawing depicting a bathroom layout. On the left side of the room, a bathtub is visible, with a shower head and controls positioned above it. Adjacent to the shower, a few shampoo bottles are lined up. In the center of the drawing is a bathroom vanity with a sink and a mirror above it. The vanity appears to have shelves or drawers. On the surface of the vanity, a faucet, a toothbrush in a holder, a cup, and a bar of soap are depicted. To the right of the vanity, a toilet is drawn. Above the toilet, there is a shelf holding a picture frame and several bottles, possibly soap or lotion dispensers. Further to the right, a window is suggested by a rectangular outline. In the foreground on the right side, a plant with stylized leaves is sketched. The drawing shows the corner of a room, indicating the spatial arrangement of the fixtures."
"102_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","The drawing depicts a bathroom layout with several key fixtures and elements. On the left side, a bathtub is positioned against a wall, and above it, a shower head and a soap bottle are visible. Adjacent to the bathtub, a vanity unit is placed, featuring a sink, a mirror above it, and on the counter, a toothbrush in a cup and another soap bottle. To the right of the vanity, a toilet is situated. Further to the right, a tall, slender object that appears to be a floor lamp or a decorative stand is present, accompanied by a cluster of plant-like forms at its base, possibly indicating a window area with a plant. The overall impression is of a functional bathroom with essential amenities, including storage shelves above the vanity area where more bottles and objects are depicted."
"102_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","The drawing depicts a bathroom layout, showing a bathtub positioned to the left, with a shower head and shower screen suggesting a combined shower/tub area. Adjacent to this, a bathroom vanity is centrally located, featuring a sink and a mirror mounted above it. Several items are visible on the vanity, including what appear to be bottles of shampoo and soap, a toothbrush and cup, and possibly another soap dispenser. To the right of the vanity, a toilet is situated. Above the vanity and to the right, shelves hold additional bottles, one likely being a soap bottle. A lamp is depicted above the mirror, and a picture is hung on the wall. A window is visible to the far right, and next to it, a tall object with a plant or foliage design is drawn. The overall impression is of a functional bathroom space with essential fixtures and decorative elements."
"102_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","The drawing depicts a bathroom layout from an interior perspective, showcasing a freestanding bathtub on the left, alongside a shower with a shower head and a vertical shower screen. Adjacent to the shower, a vanity unit is central, featuring a sink, a mirror above it, and a lamp positioned overhead. Below the mirror, there are items on the vanity, including what appears to be a toothbrush in a cup and a soap bar. To the right of the vanity, a toilet is situated. Above the vanity, a shelf holds several bottles, likely shampoo and soap bottles. On the far right side of the drawing, a tall, slender object, possibly a towel rack or a decorative element, stands next to a plant with broad leaves. A picture is visible on the wall near the shower. The drawing also suggests a window, indicated by diagonal lines on the upper right wall. The overall arrangement places the bathtub and shower on one side, the vanity and toilet centrally, and decorative elements on the other."
"103_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","This line drawing depicts a bathroom layout with a bathtub positioned on the left, featuring a showerhead and a shower screen. Adjacent to the bathtub, on the wall, there appears to be a small shelf holding what could be a toothbrush, a cup, and possibly soap or a shampoo bottle, with another bottle beside it. Moving towards the center, a bathroom vanity is represented with a sink. Above the vanity, a mirror is shown with a lamp above it, and below the mirror are three shelves, with items sketched on them. To the right of the vanity area, a toilet is placed. Further to the right, a shelf is visible, holding two bottles, likely soap or shampoo. The drawing also includes a window on the far right wall. The overall impression is of a functional bathroom space with distinct zones for bathing, vanity, and toileting, with storage provided by shelves."
"103_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","This line drawing depicts a bathroom layout with a bathtub positioned on the left, featuring a showerhead and a shower screen. Adjacent to the bathtub, on the wall, is a small shelf holding a shampoo bottle and possibly another bottle. In the center of the room, against the back wall, is a bathroom vanity with a sink, above which is a mirror and a lamp fixture. Below the mirror, the vanity appears to have three drawers or cabinets. To the right of the vanity is a toilet. Further to the right, a shelf unit holds two bottles and a smaller object. A window with diagonal lines suggesting panes is visible on the right wall. The drawing utilizes a perspective view, showing the floor and walls receding into the background."
"103_bat_copy.jpg","bathtub, shampoo bottle, shower, shower screen, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","The drawing depicts a bathroom layout with several key elements. On the left, a long bathtub is positioned along the wall, with a shower positioned above it, featuring a showerhead and what appears to be a simple shower screen. To the right of the bathtub, a shelf is mounted on the wall, holding a toothbrush, a cup, and a soap. In the center of the room, a vanity is shown with a sink, and above the vanity, a large mirror is mounted, with a lamp positioned above the mirror. To the right of the vanity area, a toilet is situated, and adjacent to the toilet, there is another shelf holding three bottles, likely shampoo and soap bottles. The far right of the drawing shows a window with several panes. The overall arrangement suggests a functional and modestly sized bathroom."
"104_bat_copy.jpg","bathtub, shampoo bottle, shower, bathroom vanity, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This line drawing depicts a bathroom layout within a three-walled enclosure, offering a perspective view. On the left wall, a bathtub is prominently featured, with a shower head positioned above it. To the right of the bathtub, a toilet is situated. Moving to the back wall, there appears to be a bathroom vanity with a sink and faucet. Above the vanity, a mirror is hung, and to its right, a shelf holds a lamp, a soap bottle, and a picture. The wall behind the vanity has a patterned texture. On the right side of the drawing, a tall rectangular object might represent a cabinet or a continuation of the wall with some drawn elements suggesting a plant. A window is also indicated on one of the walls, though its exact placement is not entirely clear. Small items like a toothbrush and a cup are also suggested near the sink area."
