filename,original_caption,detailed_description
"101_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","This line drawing depicts a bathroom layout with distinct zones. On the left, a vanity area features a sink with a faucet, a toothbrush, and a cup. Below the sink appears to be a cabinet or counter space. To the right of the sink, a large rectangular structure could represent a shower enclosure with a shower screen. Dominating the center of the drawing is a large mirrored surface, possibly above a counter or cabinet with multiple drawers or compartments. On the right side of the bathroom, a toilet is positioned. Adjacent to the toilet, there is a shelving unit holding various items, including what seem to be shampoo bottles and a soap bottle. Above the shelving unit, a picture is depicted. Further to the right, a window is suggested by lines indicating a pane. A lamp is also indicated, though its exact placement relative to other fixtures is unclear. The overall arrangement suggests a functional bathroom with a sink and vanity, a shower area, and a toilet."
"101_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","This line drawing depicts a bathroom interior, showcasing a layout with a sink, toilet, and what appears to be a shower area. On the left, a sink is mounted on a vanity with drawers below, accompanied by a faucet. Beside the sink, a toothbrush and cup are visible, and a soap dispenser or bottle is present. Above the sink, a mirror is hung, and a picture is also depicted on the wall. To the right of the sink, there's a structure suggesting a shower with a shower screen and a shampoo bottle placed on a shelf. Further to the right, a toilet is situated, with shelves above it holding several bottles, likely soap or lotion. A lamp is also integrated into the scene, possibly above the mirror or in a corner. The overall arrangement suggests a functional bathroom with essential fixtures and amenities."
"101_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","The drawing depicts a bathroom layout with several key fixtures and items. On the left, a sink with a faucet is present, with a toothbrush and cup nearby, suggesting a vanity area. To the right of the sink, there's a representation of a shower with a shower screen. The center of the drawing features a cabinet with multiple drawers or shelves. Further to the right, a toilet is positioned. Above the toilet, a shelf holds several bottles, likely shampoo and soap. There's also a representation of a mirror, a lamp, and a picture on the wall. A bathtub is also visible, positioned centrally in the room, with what appears to be a shower head and a shower screen. A window is suggested by the lines on the back wall."
"102_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This line drawing depicts a bathroom with a long bathtub positioned along the left wall, equipped with a showerhead, faucet, and a shower screen. Adjacent to the bathtub, on the same wall, are three bottles, likely shampoo or conditioner. Moving towards the center of the room, a cabinet with drawers sits below a mirror, which has a lamp positioned above it. To the right of the cabinet, a toilet is visible, and above it, shelves are stocked with bottles, possibly soap or toiletries. Further to the right, a large window is depicted, and beside it, a potted plant with lush foliage adds a touch of greenery to the space. The drawing offers a clear, albeit simple, layout of common bathroom fixtures and accessories, suggesting a functional and well-equipped room."
"102_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This line drawing depicts a bathroom layout. On the left, a long bathtub is prominently featured. Above the bathtub, a shower head is visible, accompanied by a shower screen extending vertically. To the right of the bathtub area, against the back wall, is a cabinet with a countertop. On the countertop, there are items that appear to be a toothbrush and a cup. Above the cabinet, a mirror is mounted on the wall, with a lamp positioned above the mirror. Further to the right, a toilet is situated. Above the toilet, a shelf holds several bottles, including what appears to be a soap bottle. The drawing also shows a picture on the wall. On the far right side of the drawing, there is a window, and near the window, a plant with numerous leaves is depicted."
"102_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window, plant","This bathroom drawing depicts a rectangular bathtub positioned along the left wall, with a showerhead and controls mounted on the back wall above it, hinting at a shower-tub combination. Adjacent to the shower area, a shower screen is partially visible. Moving towards the center of the drawing, a cabinet is shown with a countertop, upon which a sink is placed. Above the sink, a mirror is hung, and a lamp is positioned above the mirror. To the right of the sink area, a toilet is drawn. Further to the right, on the back wall, shelves are present, displaying several bottles, suggesting soap or shampoo storage. A framed picture is also visible on this wall. On the far right of the drawing, a window is depicted, and to its left, a large plant with prominent foliage is illustrated. A toothbrush and a cup are also visible, likely placed near the sink."
"103_bat_copy.png","bathtub, shower, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","The drawing depicts a bathroom interior with various fixtures and items. On the left side, a large rectangular structure likely represents a bathtub with a shower head above it, though not explicitly detailed. Adjacent to this is a cabinet, with its door drawn open to reveal shelves inside. To the right of the cabinet, a sink is depicted with a faucet. Above the sink and cabinet area, there are two shelves mounted on the wall. The upper shelf holds what appears to be a lamp, and two small objects. The lower shelf has several items, possibly soap bottles or containers. In the center of the room, a toilet is situated. To the right of the toilet, there is another tall, slender object, perhaps a cabinet or storage unit. Further to the right, two square shapes with curved lines inside may represent pictures or framed items on the wall. A small circular object with a stick emerging from it, positioned near the sink area, could be interpreted as a toothbrush and holder. Additionally, a cup is suggested by a small, cylindrical shape. A bar of soap is also indicated near the sink. The overall layout suggests a compact bathroom space with items organized along the walls."
"103_bat_copy.png","bathtub, shower, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","The drawing depicts a bathroom layout with several key elements. On the left, a large rectangular structure, likely a cabinet or vanity, is positioned with a prominent rectangular opening, possibly representing a mirror or a framed picture above a sink area. To the right of this, against the back wall, are two tiered shelves. The upper shelf holds three small, indistinct objects, one with a stem, resembling accessories or toiletries. Below this, a larger rectangular space might represent another shelf or a cabinet. Further to the right, there is a tall, slender object that could be a soap bottle or a lamp, situated next to a toilet. The toilet itself is depicted with its bowl and seat. Opposite the cabinet and to the right, a structure that could be interpreted as a bathtub or shower enclosure is shown, with wavy lines suggesting water or a curtain. Above and to the left of this, there are three circular shapes with one having a stem, possibly representing a toothbrush and cups. Finally, a window is indicated by a rectangular frame on the right-hand wall."
"103_bat_copy.png","bathtub, shower, cabinet, sink, toothbrush, cup, soap, mirror, lamp, toilet, shelf, soap bottle, picture, window","The drawing depicts a bathroom with several fixtures and items. On the left side, a large rectangular object, likely a cabinet or vanity, is shown with a rectangular inset, potentially representing a sink or a mirror. Above this, a lamp is depicted. To the right of this, a series of horizontal shelves are mounted on the wall, holding various items. One shelf contains what appear to be bottles and other small objects, while a higher shelf holds two rectangular shapes and a cylindrical object, perhaps representing decorative items or storage containers. Further to the right, a toilet is visible. Above the toilet and to its right, a tall, slender object could be interpreted as a towel rack or a tall cabinet. On the far right of the drawing, two more rectangular shapes, stacked vertically, suggest another cabinet or set of drawers. In the upper left corner, a few circular objects and a toothbrush are illustrated, possibly arranged on a surface. There is also a hint of a window on the far left, indicated by faint lines suggesting a frame. The layout suggests a functional bathroom space with distinct zones for washing, storage, and toileting."
"104_bat_copy.png","bathtub, shampoo bottle, shower, shower screen, cabinet, sink, toothbrush, cup, soap, mirror, toilet, shelf, soap bottle, picture, window, plant","This drawing depicts a bathroom layout from a slightly elevated perspective. On the left, a large bathtub is prominent, with what appears to be a faucet and shower head above it, suggesting an integrated shower unit. Adjacent to the bathtub, a shower screen or partial wall is indicated. Above the bathtub area, a shelf holds multiple small bottles and a larger shampoo bottle. In the center of the back wall, a framed mirror hangs high up, with a two-tiered cabinet or shelf unit below it. This unit is stocked with several bottles and containers. To the right of the cabinet, a separate shelving unit with two open shelves is depicted, also containing items. Further to the right, a tall, slender cabinet stands, possibly a linen closet. In the foreground, on the right side, a toilet is positioned. A small plant is drawn near the toilet and another abstract shape that might represent a smaller cabinet or a decorative item is present near the right wall. The drawing outlines the basic structure of the bathroom with key fixtures and storage."
